,Team_Name,Year,Wins,Losses,WL%
226,Phoenix Suns,1970,39,43,.476
227,Seattle SuperSonics,1970,36,46,.439
228,San Francisco Warriors,1970,30,52,.366
229,San Diego Rockets,1970,27,55,.329
230,divs_standings_E 1971,1971,W,L,W/L%
231,New York Knicks,1971,52,30,.634
232,Philadelphia 76ers,1971,47,35,.573
233,Boston Celtics,1971,44,38,.537
234,Buffalo Braves,1971,22,60,.268
235,Baltimore Bullets,1971,42,40,.512
236,Atlanta Hawks,1971,36,46,.439
237,Cincinnati Royals,1971,33,49,.402
238,Cleveland Cavaliers,1971,15,67,.183
239,divs_standings_W 1971,1971,W,L,W/L%
240,Milwaukee Bucks,1971,66,16,.805
241,Chicago Bulls,1971,51,31,.622
242,Phoenix Suns,1971,48,34,.585
243,Detroit Pistons,1971,45,37,.549
244,Los Angeles Lakers,1971,48,34,.585
245,San Francisco Warriors,1971,41,41,.500
246,San Diego Rockets,1971,40,42,.488
247,Seattle SuperSonics,1971,38,44,.463
248,Portland Trail Blazers,1971,29,53,.354
249,divs_standings_E 1972,1972,W,L,W/L%
250,Boston Celtics,1972,56,26,.683
251,New York Knicks,1972,48,34,.585
252,Philadelphia 76ers,1972,30,52,.366
253,Buffalo Braves,1972,22,60,.268
254,Baltimore Bullets,1972,38,44,.463
255,Atlanta Hawks,1972,36,46,.439
256,Cincinnati Royals,1972,30,52,.366
257,Cleveland Cavaliers,1972,23,59,.280
258,divs_standings_W 1972,1972,W,L,W/L%
259,Milwaukee Bucks,1972,63,19,.768
260,Chicago Bulls,1972,57,25,.695
261,Phoenix Suns,1972,49,33,.598
262,Detroit Pistons,1972,26,56,.317
263,Los Angeles Lakers,1972,69,13,.841
264,Golden State Warriors,1972,51,31,.622
265,Seattle SuperSonics,1972,47,35,.573
266,Houston Rockets,1972,34,48,.415
267,Portland Trail Blazers,1972,18,64,.220
268,divs_standings_E 1973,1973,W,L,W/L%
269,Boston Celtics,1973,68,14,.829
270,New York Knicks,1973,57,25,.695
271,Buffalo Braves,1973,21,61,.256
272,Philadelphia 76ers,1973,9,73,.110
273,Baltimore Bullets,1973,52,30,.634
274,Atlanta Hawks,1973,46,36,.561
275,Houston Rockets,1973,33,49,.402
276,Cleveland Cavaliers,1973,32,50,.390
277,divs_standings_W 1973,1973,W,L,W/L%
278,Milwaukee Bucks,1973,60,22,.732
279,Chicago Bulls,1973,51,31,.622
280,Detroit Pistons,1973,40,42,.488
281,Kansas City-Omaha Kings,1973,36,46,.439
282,Los Angeles Lakers,1973,60,22,.732
283,Golden State Warriors,1973,47,35,.573
284,Phoenix Suns,1973,38,44,.463
285,Seattle SuperSonics,1973,26,56,.317
286,Portland Trail Blazers,1973,21,61,.256
287,divs_standings_E 1974,1974,W,L,W/L%
288,Boston Celtics,1974,56,26,.683
289,New York Knicks,1974,49,33,.598
290,Buffalo Braves,1974,42,40,.512
291,Philadelphia 76ers,1974,25,57,.305
292,Capital Bullets,1974,47,35,.573
293,Atlanta Hawks,1974,35,47,.427
294,Houston Rockets,1974,32,50,.390
295,Cleveland Cavaliers,1974,29,53,.354
296,divs_standings_W 1974,1974,W,L,W/L%
297,Milwaukee Bucks,1974,59,23,.720
298,Chicago Bulls,1974,54,28,.659
299,Detroit Pistons,1974,52,30,.634
300,Kansas City-Omaha Kings,1974,33,49,.402
301,Los Angeles Lakers,1974,47,35,.573
302,Golden State Warriors,1974,44,38,.537
303,Seattle SuperSonics,1974,36,46,.439
304,Phoenix Suns,1974,30,52,.366
305,Portland Trail Blazers,1974,27,55,.329
306,divs_standings_E 1975,1975,W,L,W/L%
307,Boston Celtics,1975,60,22,.732
308,Buffalo Braves,1975,49,33,.598
309,New York Knicks,1975,40,42,.488
310,Philadelphia 76ers,1975,34,48,.415
311,Washington Bullets,1975,60,22,.732
312,Houston Rockets,1975,41,41,.500
313,Cleveland Cavaliers,1975,40,42,.488
314,Atlanta Hawks,1975,31,51,.378
315,New Orleans Jazz,1975,23,59,.280
316,divs_standings_W 1975,1975,W,L,W/L%
317,Chicago Bulls,1975,47,35,.573
318,Kansas City-Omaha Kings,1975,44,38,.537
319,Detroit Pistons,1975,40,42,.488
320,Milwaukee Bucks,1975,38,44,.463
321,Golden State Warriors,1975,48,34,.585
322,Seattle SuperSonics,1975,43,39,.524
323,Portland Trail Blazers,1975,38,44,.463
324,Phoenix Suns,1975,32,50,.390
325,Los Angeles Lakers,1975,30,52,.366
326,divs_standings_E 1976,1976,W,L,W/L%
327,Boston Celtics,1976,54,28,.659
328,Philadelphia 76ers,1976,46,36,.561
329,Buffalo Braves,1976,46,36,.561
330,New York Knicks,1976,38,44,.463
331,Cleveland Cavaliers,1976,49,33,.598
332,Washington Bullets,1976,48,34,.585
333,Houston Rockets,1976,40,42,.488
334,New Orleans Jazz,1976,38,44,.463
335,Atlanta Hawks,1976,29,53,.354
336,divs_standings_W 1976,1976,W,L,W/L%
337,Milwaukee Bucks,1976,38,44,.463
338,Detroit Pistons,1976,36,46,.439
339,Kansas City Kings,1976,31,51,.378
340,Chicago Bulls,1976,24,58,.293
341,Golden State Warriors,1976,59,23,.720
342,Seattle SuperSonics,1976,43,39,.524
343,Phoenix Suns,1976,42,40,.512
344,Los Angeles Lakers,1976,40,42,.488
345,Portland Trail Blazers,1976,37,45,.451
346,divs_standings_E 1977,1977,W,L,W/L%
347,Philadelphia 76ers,1977,50,32,.610
348,Boston Celtics,1977,44,38,.537
349,New York Knicks,1977,40,42,.488
350,Buffalo Braves,1977,30,52,.366
351,New York Nets,1977,22,60,.268
352,Houston Rockets,1977,49,33,.598
353,Washington Bullets,1977,48,34,.585
354,San Antonio Spurs,1977,44,38,.537
355,Cleveland Cavaliers,1977,43,39,.524
356,New Orleans Jazz,1977,35,47,.427
